name,ID,frequency,length,first_letter,last_letter,most_frequent_position
florida,1,14585,7,6,1,0
beaches,2,5405,7,2,19,0
beach,3,8677,5,2,8,0
hotels,4,457,6,8,19,0
best,5,649,4,2,20,0
vacation,6,229,8,22,14,0
beachfront,7,563,10,2,20,0
suites,8,3,6,19,19,0
destin,9,824,6,4,14,0
rentals,10,472,7,18,19,0
pensacola,11,68,9,16,1,0
private,12,9,7,16,5,0
map,13,1232,3,13,16,0
west,14,317,4,23,20,0
crabs,15,7,5,3,19,0
news,16,18,4,14,19,0
north,17,82,5,14,8,0
gulf,18,339,4,7,6,0
side,19,49,4,19,5,0
mexico,20,20,6,13,15,0
condo,21,73,5,3,15,0
live,22,1274,4,12,5,0
cams,23,1410,4,3,19,0
keys,24,31,4,11,19,0
webcams,25,366,7,23,19,0
hollywood,26,142,9,8,4,0
pictures,27,70,8,16,19,0
fort,28,114,4,6,20,0
myers,29,108,5,13,19,0
cam,30,780,3,3,13,0
far,31,16,3,6,18,0
weston,32,7,6,23,14,0
clubs,33,7,5,3,19,0
towel,34,10,5,20,12,0
seaside,35,64,7,19,5,0
condos,36,107,6,3,19,0
top,37,77,3,20,16,0
list,38,80,4,12,20,0
resorts,39,334,7,18,19,0
jupiter,40,35,7,10,18,0
south,41,239,5,19,8,0
people,42,2,6,16,5,0
melbourne,43,27,9,13,5,0
weddings,44,128,8,23,19,0
resort,45,83,6,18,20,0
anna,46,20,4,1,1,0
maria,47,20,5,13,1,0
wedding,48,120,7,23,7,0
clothes,49,5,7,3,19,0
panama,50,71,6,16,1,0
city,51,47,4,3,25,0
towns,52,163,5,20,19,0
party,53,10,5,16,25,0
coast,54,377,5,3,20,0
visit,55,29,5,22,20,0
tampa,56,169,5,20,1,0
bay,57,28,3,2,25,0
cottages,58,55,8,3,19,0
sale,59,279,4,19,5,0
st,60,171,2,19,20,0
petersburg,61,67,10,16,7,0
access,62,3,6,1,19,0
all,63,40,3,1,12,0
key,64,234,3,11,25,0
webcam,65,265,6,23,13,0
hilton,66,16,6,8,14,0
state,67,26,5,19,5,0
park,68,15,4,16,11,0
cities,69,27,6,3,19,0
houses,70,106,6,8,19,0
palm,71,71,4,16,13,0
pete,72,35,4,16,5,0
campgrounds,73,46,11,3,19,0
dresses,74,5,7,4,19,0
girl,75,162,4,7,12,0
amelia,76,6,6,1,1,0
island,77,86,6,9,4,0
tallahassee,78,21,11,20,5,0
destinations,79,12,12,4,19,0
naples,80,248,6,14,19,0
cameras,81,155,7,3,19,0
house,82,175,5,8,5,0
rental,83,103,6,18,12,0
flags,84,15,5,6,19,0
meanings,85,6,8,13,19,0
sunset,86,21,6,19,20,0
inclusive,87,10,9,9,5,0
treasure,88,44,8,20,5,0
atlantic,89,111,8,1,3,0
halfathon,90,1,9,8,14,0
siesta,91,40,6,19,1,0
sanibel,92,39,7,19,12,0
trips,93,16,5,20,19,0
northern,94,14,8,14,14,0
jacksonville,95,87,12,10,5,0
cape,96,38,4,3,5,0
coral,97,29,5,3,12,0
company,98,4,7,3,25,0
panacea,99,12,7,16,1,0
near,100,46,4,14,18,0
georgia,101,17,7,7,1,0
homes,102,247,5,8,19,0
rent,103,74,4,18,20,0
venice,104,225,6,22,5,0
timeshares,105,18,10,20,19,0
red,106,26,3,18,4,0
tide,107,26,4,20,5,0
information,108,8,11,9,14,0
photos,109,73,6,16,19,0
sharks,110,13,6,19,19,0
boca,111,15,4,2,1,0
raton,112,14,5,18,14,0
families,113,52,8,6,19,0
saint,114,20,5,19,20,0
southwestern,115,6,12,19,14,0
marco,116,19,5,13,15,0
clearwater,117,96,10,3,18,0
east,118,127,4,5,20,0
clear,119,7,5,3,18,0
water,120,27,5,23,18,0
camera,121,13,6,3,1,0
specials,122,4,8,19,19,0
beautiful,123,13,9,2,12,0
couples,124,15,7,3,19,0
san,125,14,3,19,14,0
blas,126,11,4,2,19,0
alabama,127,20,7,1,1,0
ten,128,18,3,20,14,0
arcadia,129,6,7,1,1,0
pepsi,130,6,5,16,9,0
cola,131,6,4,3,1,0
maps,132,85,4,13,19,0
miami,133,152,5,13,9,0
westin,134,15,6,23,14,0
turtle,135,2,6,20,5,0
emerald,136,5,7,5,4,0
club,137,20,4,3,2,0
airport,138,20,7,1,20,0
hudson,139,32,6,8,14,0
panhandle,140,75,9,16,5,0
southern,141,19,8,19,14,0
beverly,142,9,7,2,25,0
hills,143,9,5,8,19,0
feed,144,12,4,6,4,0
koa,145,12,3,11,1,0
sarasota,146,73,8,19,1,0
cocoa,147,25,5,3,1,0
eastern,148,11,7,5,14,0
nicest,149,10,6,14,20,0
videos,150,7,6,22,19,0
property,151,21,8,16,25,0
properties,152,24,10,16,19,0
businesses,153,10,10,2,19,0
lauderdale,154,12,10,12,5,0
hiltons,155,10,7,8,19,0
shells,156,32,6,19,19,0
northwest,157,49,9,14,20,0
titusville,158,11,10,20,5,0
cheapest,159,6,8,3,20,0
vacations,160,114,9,22,19,0
november,161,17,8,14,18,0
bradenton,162,17,9,2,14,0
detailed,163,5,8,4,4,0
video,164,31,5,22,15,0
locations,165,23,9,12,19,0
hyatt,166,22,5,8,20,0
volleyball,167,13,10,22,12,0
southwest,168,21,9,19,20,0
orlando,169,56,7,15,15,0
